"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.215.173.1","10.215.173.2","DNS","60","Standard query 0x7feb A g.whatsapp.net"
"2","0.041806","10.215.173.1","10.215.173.2","DNS","61","Standard query 0x24f3 A www.youtube.com"
"3","0.086094","10.215.173.1","47.241.218.212","TCP","60","45218  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3187876222 TSecr=0 WS=256"
"4","0.291031","10.215.173.1","10.215.173.2","DNS","62","Standard query 0x10ad A mtalk.google.com"
"5","0.987750","10.215.173.2","10.215.173.1","DNS","99","Standard query response 0x7feb A g.whatsapp.net CNAME chat.cdn.whatsapp.net A 157.240.195.54"
"6","0.987920","10.215.173.2","10.215.173.1","DNS","351","Standard query response 0x24f3 A www.youtube.com CNAME youtube-ui.l.google.com A 216.58.205.206 A 172.217.21.14 A 216.58.211.206 A 216.58.212.110 A 142.251.37.46 A 142.251.37.174 A 142.251.37.206 A 142.251.37.238 A 172.217.18.46 A 142.250.200.238 A 142.250.201.14 A 142.250.201.46 A 142.250.203.238 A 172.217.171.206 A 172.217.171.238 A 216.58.198.78"
"7","0.994395","10.215.173.1","157.240.195.54","TCP","60","59692  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=461099048 TSecr=0 WS=256"
"8","0.996582","10.215.173.1","216.58.205.206","TCP","60","59394  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=794464109 TSecr=0 WS=256"
"9","1.001757","10.215.173.2","10.215.173.1","DNS","107","Standard query response 0x10ad A mtalk.google.com CNAME mobile-gtalk.l.google.com A 74.125.133.188"
"10","1.007997","10.215.173.1","142.250.200.194","TCP","60","42390  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3488879462 TSecr=0 WS=256"
"11","1.010724","10.215.173.1","142.250.200.194","TCP","60","42394  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3488879465 TSecr=0 WS=256"
"12","1.014097","10.215.173.1","74.125.133.188","TCP","60","42696  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3032432437 TSecr=0 WS=256"
"13","1.065857","157.240.195.54","10.215.173.1","TCP","48","443  >  59692 [SYN, ACK] Seq=0 Ack=1 Win=750 Len=0 MSS=1460 WS=256"
"14","1.066025","10.215.173.1","157.240.195.54","TCP","40","59692  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"15","1.070452","10.215.173.1","157.240.195.54","TCP","44","59692  >  443 [PSH, ACK] Seq=1 Ack=1 Win=87808 Len=4 [TCP segment of a reassembled PDU]"
"16","1.070610","157.240.195.54","10.215.173.1","TCP","40","443  >  59692 [ACK] Seq=1 Ack=5 Win=192000 Len=0"
"17","1.070770","10.215.173.1","157.240.195.54","SSL","51","Continuation Data"
"18","1.070824","157.240.195.54","10.215.173.1","TCP","40","443  >  59692 [ACK] Seq=1 Ack=16 Win=192000 Len=0"
"19","1.078973","10.215.173.1","157.240.195.54","TCP","43","59692  >  443 [PSH, ACK] Seq=16 Ack=1 Win=87808 Len=3 [TCP segment of a reassembled PDU]"
"20","1.079037","157.240.195.54","10.215.173.1","TCP","40","443  >  59692 [ACK] Seq=1 Ack=19 Win=192000 Len=0"
"21","1.079162","10.215.173.1","157.240.195.54","SSL","293","Continuation Data"
"22","1.079207","157.240.195.54","10.215.173.1","TCP","40","443  >  59692 [ACK] Seq=1 Ack=272 Win=191744 Len=0"
"23","1.081354","216.58.205.206","10.215.173.1","TCP","48","443  >  59394 [SYN, ACK] Seq=0 Ack=1 Win=750 Len=0 MSS=1460 WS=256"
"24","1.081462","10.215.173.1","216.58.205.206","TCP","40","59394  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"25","1.084392","10.215.173.1","216.58.205.206","TCP","415","59394  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=375 [TCP segment of a reassembled PDU]"
"26","1.084490","216.58.205.206","10.215.173.1","TCP","40","443  >  59394 [ACK] Seq=1 Ack=376 Win=191744 Len=0"
"27","1.084573","10.215.173.1","216.58.205.206","TLSv1.3","230","Client Hello"
"28","1.084725","216.58.205.206","10.215.173.1","TCP","40","443  >  59394 [ACK] Seq=1 Ack=566 Win=191488 Len=0"
"29","1.086795","10.215.173.1","47.241.218.212","TCP","60","[TCP Retransmission] [TCP Port numbers reused] 45218  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3187877229 TSecr=0 WS=256"
"30","1.093506","142.250.200.194","10.215.173.1","TCP","48","443  >  42390 [SYN, ACK] Seq=0 Ack=1 Win=750 Len=0 MSS=1460 WS=256"
