"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.215.173.1","161.117.71.92","TCP","108","41948  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3056468362 TSecr=0 WS=256"
"2","0.008187","10.215.173.1","10.215.173.2","DNS","116","Standard query 0x5956 A android.googleapis.com"
"3","0.015030","10.215.173.1","10.215.173.2","DNS","120","Standard query 0x8ddb A findapi.micloud.xiaomi.net"
"4","0.035831","10.215.173.1","10.215.173.2","DNS","104","Standard query 0x9808 A i.ytimg.com"
"5","0.064022","10.215.173.1","161.117.185.166","TCP","108","58454  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2858631685 TSecr=0 WS=256"
"6","0.086735","10.215.173.1","10.215.173.2","DNS","116","Standard query 0x1e31 A youtubei.googleapis.com"
"7","0.100199","10.215.173.1","10.215.173.2","DNS","120","Standard query 0xe085 A data.mistat.intl.xiaomi.com"
"8","0.233516","10.215.173.1","10.215.173.2","DNS","124","Standard query 0x6681 A connectivitycheck.gstatic.com"
"9","0.598222","10.215.173.1","10.215.173.2","DNS","108","Standard query 0xf56d A www.google.com"
"10","0.632145","10.215.173.1","10.215.173.2","DNS","124","Standard query 0x1b85 A us.find.api.micloud.xiaomi.net"
"11","0.668695","10.215.173.1","10.215.173.2","DNS","108","Standard query 0x20d7 A www.google.com"
"12","0.773419","10.215.173.1","10.215.173.2","DNS","124","Standard query 0xf375 A notifications-pa.googleapis.com"
"13","0.836616","10.147.170.48","47.241.56.110","TCP","108","37244  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2300167031 TSecr=0 WS=256"
"14","0.867065","10.215.173.1","161.117.71.92","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 41948  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3056469392 TSecr=0 WS=256"
"15","1.059864","10.215.173.1","161.117.185.166","TCP","108","[TCP Retransmission] [TCP Port numbers reused] 58454  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2858632690 TSecr=0 WS=256"
"16","1.690580","10.215.173.1","10.215.173.2","DNS","108","Standard query 0x85ad A www.google.com"
"17","1.723845","10.215.173.1","142.250.186.106","TCP","108","39004  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1193078735 TSecr=0 WS=256"
"18","1.745870","10.215.173.1","172.67.137.34","TCP","108","34498  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3291321346 TSecr=0 WS=256"
"19","1.785940","10.215.173.1","172.217.23.106","TCP","108","59032  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3525200688 TSecr=0 WS=256"
"20","1.806787","10.215.173.2","10.215.173.1","DNS","132","Standard query response 0x5956 A android.googleapis.com A 142.250.74.202"
"21","1.810419","10.215.173.1","142.250.185.194","TCP","108","54648  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3661276980 TSecr=0 WS=256"
"22","1.815880","10.215.173.1","142.250.74.202","TCP","108","54702  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3430267185 TSecr=0 WS=256"
"23","1.820757","10.215.173.2","10.215.173.1","DNS","136","Standard query response 0x8ddb A findapi.micloud.xiaomi.net A 161.117.96.24"
"24","1.820934","10.215.173.2","10.215.173.1","DNS","360","Standard query response 0x9808 A i.ytimg.com A 172.217.18.118 A 142.250.184.214 A 172.217.23.118 A 216.58.212.150 A 142.250.185.214 A 142.250.185.246 A 142.250.184.246 A 142.250.181.246 A 172.217.16.150 A 216.58.212.182 A 142.250.74.214 A 142.250.186.54 A 142.250.186.86 A 142.250.186.118 A 142.250.186.150 A 142.250.186.182"
"25","1.821105","10.215.173.2","10.215.173.1","DNS","132","Standard query response 0x1e31 A youtubei.googleapis.com A 142.250.186.170"
"26","1.823646","10.215.173.2","10.215.173.1","DNS","216","Standard query response 0xe085 A data.mistat.intl.xiaomi.com A 47.74.233.137 A 161.117.204.141 A 161.117.160.12 A 161.117.94.82 A 161.117.96.220 A 47.88.222.244"
"27","1.831905","10.215.173.1","161.117.96.24","TCP","108","57886  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4224489836 TSecr=0 WS=256"
"28","1.845582","10.215.173.1","47.74.233.137","TCP","108","48894  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4284916614 TSecr=0 WS=256"
"29","1.847434","10.215.173.2","10.215.173.1","DNS","140","Standard query response 0x6681 A connectivitycheck.gstatic.com A 142.250.185.99"
"30","1.847879","10.215.173.2","10.215.173.1","DNS","124","Standard query response 0xf56d A www.google.com A 142.250.186.36"
